"bronq_aguda"	"CO"	"PM10"	"NO"	"NO2"	"NOX"	"O3"	"Temp_min"	"RH"	"sen12"	"cos12"	"sen6"	"cos6"
"1"	25	0.51258064516129	21.9516129032258	12.7126293539415	15.3175027591943	27.9909950598266	7.75516129032258	20.3	77.3306451612903	0.5	0.866025403784439	0.866025403784439	0.5
"2"	38	0.348649275795641	16.1558557707455	8.68753844214611	14.2210604534151	22.9070233499229	10.4713183869242	20.1857142857143	67.5357142857143	0.866025403784439	0.5	0.866025403784439	-0.5
"3"	140	0.312982973421337	20.3535503706178	12.9956077849544	17.2929095903098	30.26127812654	14.8619657079918	20.6451612903226	56.2741935483871	1	6.12303176911189e-17	1.22460635382238e-16	-1
"4"	136	0.320333333333333	18.4913735224914	11.249923711956	14.3582177799017	25.5796469510637	11.6865903341844	19.57	64.8666666666667	0.866025403784439	-0.5	-0.866025403784438	-0.5
"5"	99	0.459032258064516	27.4135483870968	19.8779482084171	14.3308275914062	33.952837410353	11.4965327678046	16.5806451612903	60.0483870967742	0.5	-0.866025403784439	-0.866025403784439	0.5
"6"	34	0.495333333333333	37.4440115941659	19.8591878348362	17.1861458564493	36.9915053866911	10.7056666666667	15.7233333333333	59.1333333333333	1.22460635382238e-16	-1	-2.44921270764475e-16	1
"7"	27	0.41258064516129	32.8865732100237	19.7179734019123	21.0406169803474	40.8737817521435	11.5096774193548	15.6838709677419	53.8790322580645	-0.5	-0.866025403784439	0.866025403784438	0.500000000000001
"8"	14	0.379354838709677	34.7522580645161	16.9749345741608	18.7812662279301	35.75239608441	17.4074193548387	15.9387096774194	48.6048387096774	-0.866025403784438	-0.5	0.866025403784439	-0.499999999999999
"9"	10	0.301666666666667	32.8463333333333	4.85340623261883	13.2991479985927	17.0179952949501	25.4153333333333	17.3566666666667	49.475	-1	-1.83690953073357e-16	3.67381906146713e-16	-1
"10"	28	0.398947910241135	40.632480203432	8.69942240983424	19.3642628251245	28.135854097071	27.3273873855695	19.2322580645161	50.8145161290323	-0.866025403784439	0.5	-0.866025403784439	-0.5
"11"	18	0.214942090201158	25.3596666666667	4.98566666666667	12.649	17.6403333333333	23.446	19.71	60.5583333333333	-0.5	0.866025403784438	-0.866025403784439	0.499999999999999
"12"	13	0.0436014315674581	20.4094031753357	9.52824786297262	15.9716387436676	25.4961258152829	15.2719814393022	20.0395481058838	62.9828830689	-2.44921270764475e-16	1	-4.89842541528951e-16	1
"13"	13	0.393610763369198	23.2492875853633	10.595861217233	13.7988493646435	24.3586227762928	13.1169583072941	19.6060351288603	69.7246445511906	0.5	0.866025403784439	0.866025403784439	0.5
"14"	22	0.397106367564026	24.272130571028	8.47488402127113	14.0996505103072	22.5720919820857	12.0325419321954	20.3586206896552	66.6379310344828	0.866025403784438	0.500000000000001	0.866025403784439	-0.499999999999999
"15"	43	0.549607539466105	24.3820293045181	13.4608864704951	17.2599783357835	30.6939201068271	11.9674610340385	19.5290322580645	68.7661290322581	1	1.19433000815572e-15	2.38866001631144e-15	-1
"16"	74	0.357497527375263	28.1852893888849	12.9553120105672	15.2848275670003	28.2164597568402	11.8034483506811	19.75	64.2916666666667	0.866025403784439	-0.499999999999999	-0.866025403784438	-0.500000000000002
"17"	69	0.531390488958832	33.6705800352287	13.30784105062	13.6611514886354	26.7792134291283	14.6712109529482	16.6516129032258	58.2016129032258	0.5	-0.866025403784439	-0.866025403784438	0.5
"18"	64	0.423314982921388	39.4489080739486	20.612910221509	17.160932312504	37.7185365085585	12.0292559420902	16.1833333333333	59.5083333333333	3.67381906146713e-16	-1	-7.34763812293426e-16	1
"19"	49	0.440231319946686	31.561369568805	17.2362307247611	19.0623591651983	36.3882761579609	17.1045963221507	14.5322580645161	50.6935483870968	-0.499999999999999	-0.866025403784439	0.866025403784438	0.500000000000002
"20"	32	0.387506863940768	41.2758143317624	18.7052459054233	20.1071439969472	38.8086136309139	17.5288963390238	16.8806451612903	51.5483870967742	-0.866025403784439	-0.5	0.866025403784438	-0.5
"21"	13	0.503864355261661	33.5674410973231	10.6328944360422	19.7620658035569	30.4080488931258	22.3922869278294	16.9733333333333	53.4	-1	-4.28612223837832e-16	8.57224447675664e-16	-1
"22"	15	0.45407801241729	40.6936181557137	7.34075564198443	18.0517887420187	25.0056292719227	25.3731854877915	19.9806451612903	55.2338709677419	-0.866025403784439	0.499999999999999	-0.866025403784438	-0.500000000000002
"23"	21	0.410443014950332	22.1161459215837	7.27395913106563	13.7457117973267	20.2042596046264	16.8763762823657	19.1282198546982	67.8932740314906	-0.500000000000001	0.866025403784438	-0.86602540378444	0.499999999999997
"24"	27	0.430257955302175	18.217052679277	8.82563532479952	16.0540377259714	24.8943137236097	10.700845695175	19.2709677419355	74.491935483871	-4.89842541528951e-16	1	-9.79685083057902e-16	1
"25"	51	0.263631770046832	21.5194178316575	13.0836703622206	12.155222320142	25.1892724160339	11.4726362264681	20	70.5403225806452	0.500000000000001	0.866025403784438	0.866025403784439	0.499999999999999
"26"	62	0.546785714285714	27.0747082717976	12.8264285714286	14.0153571428571	26.83	13.6992857142857	20.1678571428571	67.6071428571429	0.866025403784439	0.5	0.866025403784439	-0.5
"27"	84	0.475161290322581	27.1748387096774	17.2161290322581	15.9170967741935	33.0774193548387	12.3131195184746	20.6967741935484	67.9677419354839	1	5.5107285922007e-16	1.10214571844014e-15	-1
"28"	78	0.364985531250491	26.748	8.91969045990134	9.90659625737438	18.6966006998549	12.968	18.83	64.5916666666667	0.866025403784439	-0.499999999999999	-0.866025403784437	-0.500000000000002
"29"	39	0.512176449203259	31.2929032258065	0.574516129032258	0.516129032258065	0.56741935483871	11.9535483870968	16.8967741935484	63.4838709677419	0.5	-0.866025403784439	-0.866025403784439	0.5
"30"	37	0.478711805653228	38.8087685636822	13.7039848659848	10.8009812133775	24.3791123091354	12.3649537721608	15.3566666666667	61.5	2.38866001631144e-15	-1	-4.77732003262288e-15	1
"31"	41	0.439168617254831	28.8847846257129	17.8406691758241	19.8911565270713	37.8247327343183	16.8746279398214	16.3548387096774	58.9112903225806	-0.499999999999999	-0.866025403784439	0.866025403784437	0.500000000000002
"32"	37	0.16992503021506	25.2158064516129	11.5274193548387	13.2493548387097	24.76	14.7129032258065	16.3032258064516	56.3387096774194	-0.866025403784438	-0.500000000000002	0.86602540378444	-0.499999999999997
